"ID","Reef","lat","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"09-004","Turu Cay Reef",-9.8,0.2,1.8,4.6,3.4,1.6,2.5,1,0,0.2,0.7,0,0,0.4,1.6,0,0,0,0.3,5.1,0.8,1.6,0,0.5,3.9,3.9,4.5,4.5,0.6,0.5,0.6,0.3,9.2,2.1,5.4,4.1,6.6,5.1,5.3,4.7,4.9,7.4
"09-005","U/N Reef",-9.5,0.3,1.6,3.1,2.5,2.8,2.4,1.1,0,0.5,1.8,0.5,0,0.6,2.8,0,0.7,0.7,1.6,6.6,1.1,2,0,0.5,4.5,4.6,5.1,4.6,0.7,1.5,1.2,1.2,9.2,2.9,5.8,5,4.4,3.8,6.5,6.5,6.1,7.3
"09-014","U/N Reef",-9.6,0.2,1.7,3.7,2.9,2.8,2.9,1.1,0,0.5,1.4,0.5,0,0.5,2.3,0,0.9,0.9,1.4,6.4,2,2.1,0,0.3,4.3,4.3,5,3.8,0.6,1.4,1.2,1.2,9.7,3,6.3,4.8,6.1,3.9,6.3,6.3,5.9,7.9
"09-153","U/N Reef",-9.7,0.2,1.6,2.6,2.7,4.7,2.3,0.8,0.5,0.6,1.2,0.3,0,0.4,0.8,0,0.9,0.9,1.6,6.2,1.6,2,0.2,0,3.1,3.1,4.7,3.2,0.8,0.2,1.1,1.2,8.2,3,5.5,5.9,5.4,2.7,5.5,5.5,3.8,5.8
"09-163","U/N Reef",-9.3,1.1,1.5,2.2,1.8,1.9,2.2,0.7,0.1,0.7,1.5,0.8,0,0.5,1.3,0,1.2,1.2,1.3,5.3,0.7,2.3,0,0.7,2.6,2.6,4.2,2.7,0.2,0.3,1.7,1.7,6.5,2.6,5.1,5.1,1.5,2.5,5.8,5.8,2.4,0.7
"09-166","U/N Reef",-9.2,1.1,1.5,1.8,1.8,1.8,1.4,0.7,0,0.6,1.2,0.8,0,0.3,1.1,0,0.9,0.9,1.4,5.4,0.7,2.1,0,0.9,2.7,2.7,4.2,2.7,0.2,0.3,1.8,1.8,6.2,2.7,5.2,5.2,1.5,2.2,5,5,1.9,0.3
"09-167","U/N Reef",-9.2,1.1,1.5,1.8,1.8,1.8,1.4,0.7,0,0.6,1.2,0.8,0,0.3,1.1,0,0.9,0.9,1.4,5.4,0.7,2.1,0,0.9,2.7,2.7,4.2,2.7,0.2,0.3,1.8,1.8,6.2,2.7,5.2,5.2,1.5,2.2,5,5,1.9,0.3
"09-168","U/N Reef",-9.2,1.1,1.5,1.8,1.8,1.8,1.4,0.7,0,0.6,1.2,0.8,0,0.3,1.1,0,0.9,0.9,1.4,5.4,0.7,2.1,0,0.9,2.7,2.7,4.2,2.7,0.2,0.3,1.8,1.8,6.2,2.7,5.2,5.2,1.5,2.2,5,5,1.9,0.3
"09-171","U/N Reef",-9.2,1,1.5,1.8,1.7,1.7,1.4,0.6,0,0.6,1,0.6,0,0.3,0.9,0,0.8,0.8,1.4,5.4,0.7,2.1,0,0.9,2.7,2.7,4.1,2.7,0.2,0.3,1.8,1.8,6.2,2.6,5.1,5.1,1.5,2.2,4.9,4.9,1.8,0.3
"09-227","Turnagain Island Reef",-9.6,1,1.3,2.4,1.8,3.8,2.3,0.8,0,0.6,1.7,0.7,0,0.3,1,0,1.4,1.6,1.6,5.9,1.3,1.9,0.2,0.6,3.2,3.4,4.6,3.4,0.4,0.2,1.6,1.8,7.6,3.6,7.3,6.7,4.3,2.7,5.6,5.6,3.7,3.8
