"ID","Reef","lat","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"09-153","U/N Reef",-9.7,0,0.5,3.4,0.5,0.3,1.1,1.1,0.6,0.6,0,0,0,0,0,0,0,0.6,4.4,0.7,0.8,1.5,1.5,3.4,0,2.4,1.6,0.8,3,3.3,4.4,3.3,0,0.9,1.2,1.2,7.8,2.7,5.3,5.1,4.9,2.9,5.5,5.5,4.7,5.4
"09-166","U/N Reef",-9.2,0,0.1,3.1,0.5,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0.7,4.5,0.7,1.3,3.2,0.8,2.1,0,1.7,0.9,0.9,1.3,1.4,1.7,1.7,0,0,1,1,3.6,1.4,3.4,3.4,1,0.3,3.4,3.4,0.7,0
"09-167","U/N Reef",-9.2,0,0.1,3.1,0.5,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0.7,4.5,0.7,1.3,3.2,0.8,2.1,0,1.7,0.9,0.9,1.3,1.4,1.7,1.7,0,0,1,1,3.6,1.4,3.4,3.4,1,0.3,3.4,3.4,0.7,0
"09-168","U/N Reef",-9.2,0,0.1,3.1,0.5,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0.7,4.5,0.7,1.3,3.2,0.8,2.1,0,1.7,0.9,0.9,1.3,1.4,1.7,1.7,0,0,1,1,3.6,1.4,3.4,3.4,1,0.3,3.4,3.4,0.7,0
"09-171","U/N Reef",-9.2,0,0.1,3.1,0.5,0,0.9,0.9,0,0,0,0,0,0,0,0,0,0.7,4.5,0.7,1.3,3.2,0.8,2.1,0,1.7,0.9,0.9,1.3,1.4,1.7,1.7,0,0,1,1,3.6,1.4,3.4,3.4,1,0.3,3.4,3.4,0.7,0
"09-227","Turnagain Island Reef",-9.6,0,0.1,3.1,0.5,0.1,1,1,0,0,0,0,0,0,0,0,0,0.7,4.5,0.7,1.1,2.9,0.9,2.4,0,1.9,1,0.8,2.1,2.2,2.1,2,0,0,1.1,1.1,4.6,1.8,3.8,3.8,1.5,0.9,3.6,3.6,1.3,0.6
"09-238","U/N Reef",-9.8,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-239","U/N Reef",-9.7,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-240","Markai Reefs",-9.7,0,0.3,3.1,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
"09-241","U/N Reef",-9.8,0,0.3,3,0.6,0.3,1.1,1.1,0.4,0.4,0,0,0.1,0,0,0.3,0.3,0.3,3.8,0.7,0.6,2,1.4,3.4,0,2.3,2.2,0.8,3.3,3.8,3.9,3.2,0,0.2,1.3,1.3,7.1,2.7,5.7,6.3,4,2.6,4.9,4.9,4.1,4.4
