"ID","Reef","lat","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"09-004","Turu Cay Reef",-9.8,2.5,4.5,2.4,1,2.1,2.5,4.9,2.4,1.3,0,0.4,0,0.3,0.5,0.5,1.7,10.4,0.4,1.4,1.4,3.9,7.9,0.5,4.2,4.6,0.3,2.2,2.4,6.8,6.8,3.3,1.6,3.2,3.7,8.9,3.5,4.1,3.9,10.9,6.2,6.2,1.3,3.2,9.4
"09-005","U/N Reef",-9.5,2.5,4.1,2.4,1.1,2,2,4.3,2.9,1.3,0,0.4,0,0.2,1.7,0.3,1.5,10.3,0.2,1.5,1.5,3.7,7.9,0.7,3.6,3.5,0.3,2.3,2.3,6.1,6.1,2.6,1.4,3.6,3.4,9.2,3.4,3.6,3.1,10.1,5.8,4.3,2.1,2.5,8.4
"09-014","U/N Reef",-9.6,4.3,4.8,3.2,0.8,1.8,2.2,3.8,4.8,2,0,0.8,0,0.4,1.8,0.3,1.6,9.8,0.3,3.9,3.9,4,8.2,1.1,3.4,3.7,0.3,2.6,2.7,5.9,5.9,2.8,1.5,3.9,3.8,9.5,4.1,4.2,3.7,10.3,6,5,2.1,3.5,8.9
"09-153","U/N Reef",-9.7,3.9,4.5,5.1,0.7,1.9,2.9,3.1,5.9,0.9,0.2,0.8,0.3,0.9,1.3,0.6,1.6,7.2,0,3.5,3.5,3.8,10.1,1.5,2.8,3.6,1.4,2.9,3.5,5.3,5.3,0.8,2.3,3.9,1.9,9.4,4.8,6.2,6.2,10.8,6,2.7,2.4,3.9,8.1
"09-163","U/N Reef",-9.3,4.2,4.1,4.1,0.8,2.2,2.7,2.6,5.2,1.1,0,0.7,0.4,0.4,2,1.1,1.5,6.7,0,3.6,3.6,4,10,1.6,3.1,3.1,1.1,2.9,3.3,5.2,5.2,0.8,1.8,4.1,1.7,8.4,4.7,6,6,10.7,5.2,2.5,2.5,2,5.2
"09-227","Turnagain Island Reef",-9.6,4.2,5.1,5.7,1,2.2,3.1,2.9,4.7,0.8,0.3,0.7,0.3,0.8,1.2,0.8,1.7,7.4,0.2,2.8,2.8,3.7,10.4,1.8,2.9,3,1.6,3.1,3.7,6.7,6.7,0.7,2,3.9,2,9.5,5,6.1,6.4,10.6,5.9,2.4,2.2,4,7.8
"09-238","U/N Reef",-9.8,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-239","U/N Reef",-9.7,3.9,4.5,5.1,0.7,1.9,2.9,3.1,5.9,0.9,0.2,0.8,0.3,0.9,1.3,0.6,1.6,7.2,0,3.5,3.5,3.8,10.1,1.5,2.8,3.6,1.4,2.9,3.5,5.3,5.3,0.8,2.3,3.9,1.9,9.4,4.8,6.2,6.2,10.8,6,2.7,2.4,3.9,8.1
"09-240","Markai Reefs",-9.7,3.9,4.5,5.2,0.7,1.9,2.9,3,5.7,1,0.2,0.8,0.3,0.9,1.3,0.6,1.6,7.3,0,3.4,3.4,3.8,10.1,1.5,2.9,3.6,1.5,2.9,3.6,5.4,5.4,0.9,2.3,3.9,2,9.5,4.8,6.4,6.4,10.9,6.1,2.9,2.3,4,8.3
"09-241","U/N Reef",-9.8,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-244","U/N Reef",-10,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-246","Mabuiag Reef",-10,3.8,4.8,5.7,1.1,2.1,3.1,2.2,4,1.2,0.5,0.8,0.6,0.8,1.4,0.4,1.6,7.5,0.1,1.9,1.9,3.8,10.4,1.9,4,3.5,1.8,2.9,4.7,6.5,6.5,1.2,2.2,4.1,2.3,10.8,4.9,7.7,7.9,11.8,6.8,4.6,1.4,4.6,10.1
"09-247","Hamelin Boulders",-10,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-249","U/N Reef",-9.9,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-250","U/N Reef",-9.9,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-251","U/N Reef",-10,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-252","U/N Reef",-9.9,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-253","U/N Reef",-9.9,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-255","U/N Reef",-10,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-256","U/N Reef",-9.9,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-257","Minnie Rock",-10,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-258","U/N Reef",-10,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-259","Ngie Reef",-9.9,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
"09-260","U/N Reef",-10,4.1,4.9,5.9,0.9,1.9,2.9,2.4,4.3,1,0.5,0.8,0.6,0.8,1.5,0.5,1.7,7.6,0,2.1,2.1,3.8,10.5,1.8,3.9,3.5,1.8,2.8,4.4,6.4,6.4,1.2,2.3,4,2.3,10.6,4.9,7.6,7.8,11.7,6.8,4.4,1.4,4.8,9.8
